"filename", "language", "TypeScript", "XML", "HTML", "JavaScript", "SCSS", "CSS", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.html", "HTML", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 2, 106
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.scss", "SCSS", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 15, 96
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.html", "HTML", 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 1, 338
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.scss", "SCSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 9, 62
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies-extended/companies-extended.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.html", "HTML", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 5, 158
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.scss", "SCSS", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 14, 96
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/companies/companies.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
